Title,Price,Description,Condition,Type,Material,URL
Solid BarmaTeak wooden VANITY,120,"Description First Time in Pakistan 
Solid BarmaTeak wooden VANITY.  

construction with a gorgeous natural finish ensures the cabinet has the Life time durability to handle everyday use. Behind its pair of soft-closing doors is a roomy interior with an adjustable shelf to keep all your items neatly tucked away. 

Manufactured By
Elegant
Size/Weight: W 40"" / D 19"" / H 34"" / 136 lb. 
Color: Teak
Materials: Solid Barma Teak Wood 
Category: Bathroom Vanities And Sink Consoles
Style/Design: Italian",New,Cabinets,,https://www.olx.com.pk/item/solid-barmateak-wooden-vanity-iid-1070288588
Face Towel / All Purpose Cleaning Towel Export Quality,500,"Description Face Towel / All Purpose Cleaning Towel,

Size:30x30cm, / 12x12""  inches

Weight: 0.40 grams,

Quality: 100% Cotton Supreme Quality. 

Pack of 6

It is perfect for use in Face Wash, Bathroom, Kitchen, Gym, Spa, Office, and General Cleaning, as it gives you a very soft, comfortable, and lightweight feel, making it both luxurious and functional for you and your loved ones. 

Made from natural materials and no harmful chemicals and synthetic materials are added, safe for you and your family.",Used,,,https://www.olx.com.pk/item/face-towel-all-purpose-cleaning-towel-export-quality-iid-1098628756
woven clothing label and  tags call 03249609839,1000,"Description woven clothing label and  tags ,printing Pana flex,in cheap rate

call and Whatsapp
[[ (View phone number) ]]",New,Other Paintings,,https://www.olx.com.pk/item/woven-clothing-label-and-tags-call-03249609839-iid-1100464912
Sofa Set (2 pcs],20000,"Description One 3-seater and one 2-seater
rough condition",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-2-pcs-iid-1105432473
dining table with 6 chairs,41500,Description good condition glass table with 6 chairs,,,,https://www.olx.com.pk/item/dining-table-with-6-chairs-iid-1105432482
Iron bed set,70000,"Description Condition 8/10 
Size king
Only bed set not mattress 
 (Chat with seller)",Used,King Bed,Iron,https://www.olx.com.pk/item/iron-bed-set-iid-1105432499
stylish pink vase & candle set-perfcet home decor,950,"Description Apne Ghar ki table ya shelf ko bnayein aur bhi khubsurat is elegant pink vase & candle set k Sath. 

 Vase
 Glass candle holder 
 Matching tray included
 Brand new
 High quality finish 
 Elegant design",New,,,https://www.olx.com.pk/item/stylish-pink-vase-candle-set-perfcet-home-decor-iid-1105432506
Center table,15000,"Description Good condition
Barely used",,,,https://www.olx.com.pk/item/center-table-iid-1105432507
DEER FIBER MADE,20000,"Description DEER MADE IN FIBER 
NEW PIECE 
 (Chat with seller)",New,,,https://www.olx.com.pk/item/deer-fiber-made-iid-1105432509
"double bed, king size bed, side tables, home furniture, room furnitur",40000,"Description Jazhiz package
bedset/bed/dressing/side table

We are manufacturing all types quality Furniture Factory Price. 

Best & no. 1 quality material used in all products. 

Graceful and decent design. Best Quality and Finishing
Solid wood structure and 1st quality material used

No compromise in quality of product & polish. 

Special discounted in bulk purchasing. 
ALL PRODUCT PRICE ARE DIFFRENT. 

Also We Deal All Kind Of Furniture

DELIVERY CHARGES NOT INCLUDED IN THIS AMOUNT

ONLY FOR CALL & WHATSAPP :
03/42/17/44/926",New,Bed Set,Wooden,https://www.olx.com.pk/item/double-bed-king-size-bed-side-tables-home-furniture-room-furnitur-iid-1105419382
dabal Bad achi halat May saaf sutra lakri ka moltyform k sat,18000,Description dabal bad best condition May koi masalla ni hy moltyform K Sat whatpp pr video dakh K yah ghr aa k dakh kr lo,Used,King Bed,Wooden,https://www.olx.com.pk/item/dabal-bad-achi-halat-may-saaf-sutra-lakri-ka-moltyform-k-sat-iid-1104203559
Dining table \ 4 chairs dining table \ wooden dining \ dinner table,38000,"Description Buy this like a new wooden dining table.  If u can't afford new one
dining table for sale 
* table
* Dining table
* wooden dining  
Home used - 1 hand used
Condition 10/10
Just buy and use 
Make your home more attractive

        Only serious buyers do contact Price is negotiable",,,,https://www.olx.com.pk/item/dining-table-4-chairs-dining-table-wooden-dining-dinner-table-iid-1104218778
Double bed,23000,"Description Double Bed 
Wooden Structure 
Taali ki lakri ka
without side tables
Old Furniture",Used,King Bed,Wooden,https://www.olx.com.pk/item/double-bed-iid-1104222070
Swing (Large Size),15000,Description Upto sitting capacity 200 kg,Used,,,https://www.olx.com.pk/item/swing-large-size-iid-1105432151
Rot iron double bed with side tables,30000,Description Rot iron double bed with side tables in very good condition with good condotion mattress,Used,Bed Set,Iron,https://www.olx.com.pk/item/rot-iron-double-bed-with-side-tables-iid-1105432184
ARTIFICIAL TREE ROD IRON PAIR,30000,"Description ARTIFICIAL TREE ROD IRON PAIR
 (View phone number) 
NEW PIECE",New,,,https://www.olx.com.pk/item/artificial-tree-rod-iron-pair-iid-1105432197
Almari,16000,Description Good for space size wise b best hai lambi hight hai picture clear hai if u r intrestie then contact price negitionable,Used,Kids Wardrobes,,https://www.olx.com.pk/item/almari-iid-1105432232
Sofa 3 seater master foom taj sofa,25000,Description best quality hai aur master walon ka foom hai   aur sofa bilkul quality mein acha hai aur new sofa aur full aur final price hai time wast waly na aya,New,3 Seater,,https://www.olx.com.pk/item/sofa-3-seater-master-foom-taj-sofa-iid-1105432234
king size wooden bed and dressing table,35000,"Description Bed king size pure wood 
condition 8/10
Dressing table pure wood 
condition 8/10",Used,King Bed,Wooden,https://www.olx.com.pk/item/king-size-wooden-bed-and-dressing-table-iid-1105432246
7 seater sofa set,15000,Description urgent sell 7 seater,Used,Sofa Set,,https://www.olx.com.pk/item/7-seater-sofa-set-iid-1105432250
cabnet,40000,Description condition 10 by 10 1 hand use,Used,Attendance Machines,,https://www.olx.com.pk/item/cabnet-iid-1105432254
Double Bed 6x6.5,22000,Description Bed is in good condition for sale without mettres,Used,King Bed,Wooden,https://www.olx.com.pk/item/double-bed-6x65-iid-1105432276
pure wood 5 seter soft,39500,Description The wood sofa is in good condition with a new cover with foam,Used,Sofa Set,,https://www.olx.com.pk/item/pure-wood-5-seter-soft-iid-1105432287
King Size Bed with Mattress,20000,"Description King Size bed with mattress in decent condition 
both sides have compartment and one long compartment in middle 
condition: 7/10condition: 7/10",Used,King Bed,Wooden,https://www.olx.com.pk/item/king-size-bed-with-mattress-iid-1105432293
other,25000,"Description High quality irani Feroza Stone 11.8 gram wait 
100% natural beautiful colour not treated 
contact on WhatsApp See phone number
cash on delivery facility available
all over Pakistancash on delivery facility available
all over Pakistan",Used,Others,,https://www.olx.com.pk/item/other-iid-1105432334
computer table |office table |work station |study table |clusters,5500,"Description visit my YouTube channel @MrBasit92
we prepare table on order in one day. 
please feel free to contact for more details
sizes: height. 48"", width. 30"" depth. 16""",New,Workstations,,https://www.olx.com.pk/item/computer-table-office-table-work-station-study-table-clusters-iid-1076008311
stylish 3+2+1 sofa set -excellent condition-just 60k,60000,"Description Upgrade your living space with this beautiful **3+2+1 seater sofa set** in excellent condition!

 **Comfortable & Spacious** – Perfect for family use
 **Premium Fabric & Cushions** – Soft, durable, and easy to maintain
 **Neat & Well-Maintained** – No damages or stains
 **Modern Look** – Elegant design that suits any interior

 Pictures attached– What you see is what you get!

This set is ideal for drawing rooms or lounges and is a great value for money. Selling only due to space adjustment.",Used,Sofa Set,,https://www.olx.com.pk/item/stylish-321-sofa-set-excellent-condition-just-60k-iid-1104094665
Dining table,22000,Description Used Dining table 6 chairs and 1 glass table good condition,,,,https://www.olx.com.pk/item/dining-table-iid-1104161481
hijama darwer,6000,Description hijama darwer in very good condition,,,,https://www.olx.com.pk/item/hijama-darwer-iid-1105431936
Kun Faya Kun Islamic wooden clock,1599,Description •  Product Code: MZ1261200120MRTS,New,,,https://www.olx.com.pk/item/kun-faya-kun-islamic-wooden-clock-iid-1105432025
King size bed with 2 side tables best quality in your choice colours,35000,Description King size bed with 2 side tables best quality in your choice colours Classic design,New,King Bed,Wooden,https://www.olx.com.pk/item/king-size-bed-with-2-side-tables-best-quality-in-your-choice-colours-iid-1094042357
Lucky Quilts razai talai 100% polyester,4000,Description Winter Talai blanket 100% polyester,Used,"Comforters, Quilts & Duvets",,https://www.olx.com.pk/item/lucky-quilts-razai-talai-100-polyester-iid-1096670235
Office table 7/4,1,Description Office table with premium quality built size is 7/4 with front leather desgine perfect for office chair with 3 drowers and 1 cabenet,,,,https://www.olx.com.pk/item/office-table-74-iid-1103558793
New Computer Table,6500,"Description New Computer Table for sell contact
 (Chat with seller)",New,Office Side Tables,,https://www.olx.com.pk/item/new-computer-table-iid-1104222307
6 seaters sofa set,45000,"Description Sofa set 
6 seaters 
Condition 9/10
Damage no",Used,Sofa Set,,https://www.olx.com.pk/item/6-seaters-sofa-set-iid-1105432039
Dressing  Table,25000,"Description Wooden
 Excellent  condition 
Good quality  mirror",,,,https://www.olx.com.pk/item/dressing-table-iid-1105432041
window  for sale sett,38000,Description All ok ha plastic ki ha Mirror bhi Sath hai jali bhi Sath hai,Used,Others,,https://www.olx.com.pk/item/window-for-sale-sett-iid-1105432054
Heavy Wooden Bed for sale With Mattress,60000,"Description Just Like new ha kahe SE damage nhi ha full lush shine mattress 2 month pehle Lia tha 10 years ke warranty ha mattress ke sath me card mileage Jo lega 
Reason For Sale King size Lena ha Bed",Used,Queen Bed,Wooden,https://www.olx.com.pk/item/heavy-wooden-bed-for-sale-with-mattress-iid-1105432088
Oval Shape Table lamp-3 Colors New,1200,"Description Oval Shape Table lamp-3 Colors New
With Charging leas",New,Table Lamps,,https://www.olx.com.pk/item/oval-shape-table-lamp-3-colors-new-iid-1105432094
Sofa Set for Sale (3-2-1 Seater),45000,"Description Selling a durable and solidly built sofa set. It’s heavy and sturdy, ensuring long-lasting use. The foam inside is still in good condition, providing comfort. It was renewed a few years back and is ready to use, just buy and place it in your space. 

**Price is almost final**

Serious buyers, please contact.",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-for-sale-3-2-1-seater-iid-1099448907
sofa set with cusion bed side table dressing sofa table,90000,Description I want to sale my whole furniture. 4 months used Huwa h. whtsap number  (View phone number)   (View phone number)  Whatsapp number  (View phone number),New,Bed Set,Wooden,https://www.olx.com.pk/item/sofa-set-with-cusion-bed-side-table-dressing-sofa-table-iid-1104181002
PVC wall panels | 3d wall paper | vinyl flooring | blinds & curtain,95,"Description Deal in all type of home decor items 
For fall ceiling we have gypsum united fall ceiling tile form size 2 ft x 2 ft easy to install and easy to move from place to other place 

Wooden Flooring | wall papers | pvc wall panels | Gypsum Fall Ceiling

for more detail and designs plz call and what's app on given number 
 (View phone number)",New,,,https://www.olx.com.pk/item/pvc-wall-panels-3d-wall-paper-vinyl-flooring-blinds-curtain-iid-1103728823
coffee table need to urgently sell,5000,Description price negotiable Alhamdulillah in okay condition,,,,https://www.olx.com.pk/item/coffee-table-need-to-urgently-sell-iid-1105431782
shop Almari And Racks,190,"Description Shop Almari wooden 6x6   1  pice
4x6  3 pice 
2x6 3 Pice
Shop Almari Aluminum and Mirr
7x4  4 Pice
display Almari 
4x8.1 Pice 
Iron Rack 9x6 2 Pice 
Kaonte Almari 8 X2  1 Pice 
Shop Racks",Used,,,https://www.olx.com.pk/item/shop-almari-and-racks-iid-1105431795
Imported Rotating Chairs,10000,"Description We have three computer rotating chairs available in excellent condition - two in blue and one in black. All chairs are comfortable,sturdy and well maintained, perfect for office or study use. 
Price is 10000 each.",Used,Computer Chairs,,https://www.olx.com.pk/item/imported-rotating-chairs-iid-1105431796
cloths hanging stand with rack,3200,Description cloths hanging stand and rack below with wide space in good condition for your room.,,,,https://www.olx.com.pk/item/cloths-hanging-stand-with-rack-iid-1105431807
steel bed double king size 03244737250,32999,"Description میاں صدام فرنیچر فیکٹری
 ہمارے ہاں آئرن اور اسٹیل میں ہر قسم کے  ڈبل بیڈ، سنگل بیڈ، بنک بیڈ، سائیڈ ٹیبل، شوکیس، ڈریسنگ، صوفہ سیٹ، پوشیش صوفہ سیٹ، اور مکمل جہیز سیٹ ہول سیل ریٹ پر تیار کیے جاتے ہیں آور ہر طرح کا گھریلو فرنیچر تیار کیا جاتا ہے 
نہایت ہی مناسب قیمت میں رابطہ کر ے  (Chat with seller)  what s",New,King Bed,Iron,https://www.olx.com.pk/item/steel-bed-double-king-size-03244737250-iid-1100637951
Imported cloth stand,3500,"Description •  3In1 System
•  Can Easily Manage Your Clothes On It With 40 To 45 Hangers Hanging Capacity, Garments Stand,Garments Rack
•   This Cloth Hanging And Boutique Display Stand Also Specially Design For Boutique Display Outlets And Garments Shops
•   It Has Single Pole Function Means Upper Hanging Option Straight Rode Hanging Option. It Will Help You To Organize Your Clothes And Other Accessories Like Bags, Belts , Towel, Jackets, Purse, Etc. 
•  5 Days Return Warranty 
• Delivery Available All Over In Pakistan",New,Cloth Stands,,https://www.olx.com.pk/item/imported-cloth-stand-iid-1104222188
7 seater sofa,40000,Description 7 seater light golden colour,Used,Sofa Set,,https://www.olx.com.pk/item/7-seater-sofa-iid-1105365427
ratan sofa set,37000,"Description ratan sofa set
indoor/out door furniture 
condition 9/10",Used,Sofa Set,,https://www.olx.com.pk/item/ratan-sofa-set-iid-1105431832
Halogen Search Light 1000W,25000,Description Halogen search light 1000w,Used,,,https://www.olx.com.pk/item/halogen-search-light-1000w-iid-1105431860
swimming pools,5000,"Description used once 
brand new condition 
comes with pump
no damage 
for kids",,Swimming Pools,,https://www.olx.com.pk/item/swimming-pools-iid-1105431875
Rattan garden outdoor Furniture set UPVC CHAIRS TABLE UMBRELLA,95000,"Description *** WELCOME TO ZAFAR OUTDOOR FURNITURE **
Our team is professional, the best designers & 100% quality work is delivered to clients on a reasonable rate. 
(DEAL IN ALL ITEMS IN ALL PAKISTAN DELEVERY AND CARGO AVAILABLE)
We deliver fast-track services with quality. Samples, and catalogs  selection. 
WhatsApp 
 (View phone number) 

Our services included

Rattan Furniture
Rattan sofa Set
Rattan chairs
Rattan dinning Table
Rattan folding chair
Park bench
Rattan Umbrellas
PVC Chair ,Tables
Heaven chair
Memory chair


Having highly professional workers to build design attractive comfortable and long lasting outdoor furniture ranges in best prices. 
We'll provide the important material one class Rattan ,waterproof Resistance . 

Our products:

FURNITURE

* SOFA SET 
* OUTDOOR CHAIRS
* DINNING TABLES 
* OUTDOOR BENCHES 
* HEAVEN CHAIRS  
* OUTDOOR SWINGS 
* OUTDOOR UMBRELLAS

DISCOUNT FOR BULK PURCHASING 

   FOR MORE INFORMATION PLEASE CONTACT US :
 0,3,2,1,4,1,7,5,6,9,6,
 WhatsApp  (View phone number)",New,,,https://www.olx.com.pk/item/rattan-garden-outdoor-furniture-set-upvc-chairs-table-umbrella-iid-1105431877
for sale,14000,Description without crockery. . . . . .,Used,Showcases,,https://www.olx.com.pk/item/for-sale-iid-1105431881
Paintings,3500,"Description Some words hold beauty beyond language. 

This matching Islamic wall art set was hand-painted with love, blending soft tones and unique patterns to create a sense of calm, balance, and serenity. 

Perfect for your home
Ideal as a spiritual gift
Hand-painted, framed & ready to hang
~ Munafsha",New,,,https://www.olx.com.pk/item/paintings-iid-1105431926
MARS Korean Blanket,8000,"Description Original Korean Blanket 
Best Essential product for cold winter 
Keeps you warm and cozy in winter",New,Blankets & Throws,,https://www.olx.com.pk/item/mars-korean-blanket-iid-1096627207
Sofa set 8 seater,45000,Description Sofa set 8 seater is available for sale. good condition. not much used. serious buyers contact. price is negotiable. Please give reasonable price.,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-8-seater-iid-1102958395
Sofa Set/L Shape Sofa/6 Seater Sofa/Wooden Cornor Sofa/Sofa Cum Bed,36999,"Description Al Wahaj Furniture
We Deal in All Home Furniture
We Provide Best Quality 
Guarantee 100%
No Compromise In Quality 
We Deal In All Over Islamabad

Transform your living room into a cozy retreat with our stunning L-shaped sofa, expertly designed for small spaces and corner areas. 

For Further information

Contact Us : 0/3/0/0/0/3/3/0/4/4/9",New,L Shaped,,https://www.olx.com.pk/item/sofa-setl-shape-sofa6-seater-sofawooden-cornor-sofasofa-cum-bed-iid-1104550177
False ceiling | Pvc wall panel | Wpc wallpanel | wallpaper,100,"Description Upgrade Your Interiors with Style & Quality! 
We provide premium solutions to make your home or office look elegant and modern:

 False Ceiling – Stylish & durable designs
 PVC Wall Panels – Waterproof & easy to clean
 WPC Panels – Strong & long-lasting finish
 Wallpaper – Wide variety of designs & colors
 Vinyl Flooring – Elegant look with easy maintenance
 Wooden Flooring – Natural & classy feel

 Contact us today for quality products and professional installation!
 (View phone number)",,,,https://www.olx.com.pk/item/false-ceiling-pvc-wall-panel-wpc-wallpanel-wallpaper-iid-1105005469
computer chair,5000,Description steel + fiber + foam chais 30 nos available. very good condition. look like new,Used,Computer Chairs,,https://www.olx.com.pk/item/computer-chair-iid-1105431587
zinc color bed room set,250,"Description king size bed
2 side tables 
one dressing 
devaan with table 
sethi (storage box)
divider (showcase)
iron stand 
cupboard 3 piece 
jahez package. . .",Used,King Bed,Wooden,https://www.olx.com.pk/item/zinc-color-bed-room-set-iid-1105431606
just 4 chairs not table,2000,Description told and strong  jus need polish,Used,Dining Chairs,,https://www.olx.com.pk/item/just-4-chairs-not-table-iid-1105431612
Portable Dressing Mirror,17000,"Description Brand new with packing
Purchased few months back
Selling because of shifting 
Price is slightly negotiable",New,Others,,https://www.olx.com.pk/item/portable-dressing-mirror-iid-1105431630
sofa seven seater,76000,Description Seven seater sofa with fifteen years foam warranty,New,L Shaped,,https://www.olx.com.pk/item/sofa-seven-seater-iid-1105431646
bed just,18000,Description Urgent sale condition 10/10,Used,King Bed,Wooden,https://www.olx.com.pk/item/bed-just-iid-1105431647
double bed with dresssing table,95000,"Description double bed  side table hain 2
1 dressing table
price kcuh kam hu jay gi moky pa
 (View phone number) 
is number pa rabta krain",Used,Bed Set,Wooden,https://www.olx.com.pk/item/double-bed-with-dresssing-table-iid-1105431698
Bed double bed with mattress,150,"Description Wooden Bed with Mattress for Sale 

 Strong & durable wooden bed
 Comes with comfortable mattress
 Neat & clean condition – ready to use
 Elegant design suitable for any room

Perfect for home use – no need to buy mattress separately!

Price: 200000 – Slightly negotiable
 Location: Multan 
 Contact:   (View phone number)",Used,King Bed,Wooden,https://www.olx.com.pk/item/bed-double-bed-with-mattress-iid-1105431717
wooden wardrobe,15000,Description 1 year use condition good hai,Used,Kids Wardrobes,,https://www.olx.com.pk/item/wooden-wardrobe-iid-1105431722
Cloth Stand,3000,"Description •  Weight 4.5 kg Color Silver5.5 feet height
•  Easy to carry Easy to install4 feet width
•   Product for boutique and homeDurable & ReliableAttractive DesignNote. We will send you this stand in parts. I ts very easy to assemble. 
•  5 Days Return Warranty
• COD Available All Over In Pakistan",New,Cloth Stands,,https://www.olx.com.pk/item/cloth-stand-iid-1104222308
Bar stool,8000,"Description We deal all kind of  Office Furniture 

Office Chair 
Office Table


Custom-Made Furniture on Order

 Unique & Trendy Designs
 Solid & Durable Materials
 Affordable Prices with Premium Finish
 Customization Available

 Contact:  (View phone number)  {  (View phone number)  } {  (View phone number)  }  

Transform your Office furniture that speaks of elegance and comfort — only at MD Furniture. 

Also Vist our Shop {  Takbeer tower LG 22 Main Mcleod road lakshami chowk Lahore",New,Stools,,https://www.olx.com.pk/item/bar-stool-iid-1105431731
Room set,110,"Description Full room set 
Bed including mattress , side tables , Dressing table.",Used,Bed Set,Wooden,https://www.olx.com.pk/item/room-set-iid-1105431761
conference table,10000,Description 4x8 size table available  good condition,Used,Conference Tables,,https://www.olx.com.pk/item/conference-table-iid-1105431763
for sale,15000,Description without maters only bed,Used,Single Bed,Wooden,https://www.olx.com.pk/item/for-sale-iid-1105431765
dining table/6 seater dining set/metal steel chair/UV top dining table,50000,"Description We Deal in  Dining Table & chairs
We offer a wide selection of high-quality furniture products that are designed to meet your style and functional needs

Classic traditional style furniture – perfect for a mid-century style living room or office. 
6 chairs dining table with white genuine marble placed,
8 chairs dining table,  
4 chairs dining table,   
*Modern chairs , peacock style , 
*Colors & Design's can changed according to your choise. *
For Order and Information Please contact us:
 (View phone number)",,,,https://www.olx.com.pk/item/dining-table6-seater-dining-setmetal-steel-chairuv-top-dining-table-iid-1103513597
sofa set with stool,60000,Description 3 1 1 sofa set in blue colour with 2 seater stool made of pure wooden frame inside,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-with-stool-iid-1105318977
Original Leather 5 Seater Sofa Set,25000,Description original foam aur original Leather wala sofa set hy 45k ka new hy condition thk bs 3 seater ki 2 jga se selai utri hy jo k set ho jay gi bki bethny me full comfort hy use k lye best hy ghr office k lye contact on 0/3/24/27/79/414,Used,Sofa Set,,https://www.olx.com.pk/item/original-leather-5-seater-sofa-set-iid-1104827684
Sofa chair table,50000,Description Contact  (View phone number)  and show videos and deal,New,,,https://www.olx.com.pk/item/sofa-chair-table-iid-1105431431
Executive Chair/Officer chair/CEO chair/Boss chair,7799,"Description Description:
Ergonomic Design
Adjustable height 
360° degree swivel 
Mesh back 
Lumber support for comfort
 Padded seat
High density foam
PP-Nylon base
Imported base with one year warranty

Significance 
Sleek and professional design to complement any office decor
""Elevate your workspace with our ergonomic revolving chair! 
 Experience ultimate comfort and mobility with 360-degree swivel. 
 Adjustable height and lumbar support ensure personalized comfort. 
 Perfect for any office settings.",New,Workstations,,https://www.olx.com.pk/item/executive-chairofficer-chairceo-chairboss-chair-iid-1105431438
Handmade Bouquet,6000,"Description Handmade Money Bouquet – Perfect Gift 

Beautifully designed handmade bouquet made with PKR 100 currency notes. 
 Total Amount: PKR 5,000 (50 notes of 100 each)
 Wrapped in elegant premium paper with decorative ribbon
 Perfect for gifting on birthdays, anniversaries, engagements, weddings, or any special occasion
 Unique & creative alternative to flower bouquets

 Condition: Brand new (handmade)
 Ready to gift directly100 currency notes. 
 Total Amount: PKR 5,000 (50 notes of 100 each)
 Wrapped in elegant premium paper with decorative ribbon
 Perfect for gifting on birthdays, anniversaries, engagements, weddings, or any special occasion
 Unique & creative alternative to flower bouquets

 Condition: Brand new (handmade)
 Ready to gift directly",New,,,https://www.olx.com.pk/item/handmade-bouquet-iid-1105431440
steel body single bed without matress,15500,Description steel body single bed in very good condition,Used,Single Bed,Iron,https://www.olx.com.pk/item/steel-body-single-bed-without-matress-iid-1105431442
A. G furniture market,114,Description only bed set and order pa ready kiye jy ta hai bed ke Life wanntry inshallah ap ko Pasand ay gy jazkallah,New,Bed Set,Wooden,https://www.olx.com.pk/item/a-g-furniture-market-iid-1105431459
sofa center table,7000,Description sofa center table black and golden,,,,https://www.olx.com.pk/item/sofa-center-table-iid-1105431465
Baby cutting chair,12500,"Description condition 10/10
 (Chat with seller)",Used,Kids Chairs,,https://www.olx.com.pk/item/baby-cutting-chair-iid-1105431470
6 Chairs Dining Table,25000,"Description Glass Dining Table with 6 Chairs 

Used Condition",,,,https://www.olx.com.pk/item/6-chairs-dining-table-iid-1105431475
Turkish style dining table and chairs,40000,Description Turkish style chairs with marble top tables 10/10 for sale faltu offer na dain shukriya,Used,Dining Tables,,https://www.olx.com.pk/item/turkish-style-dining-table-and-chairs-iid-1095627371
Corner sofa / L shape sofa,60000,"Description L shape sofa , condition 9.5 /10",Used,L Shaped,,https://www.olx.com.pk/item/corner-sofa-l-shape-sofa-iid-1105431528
5 seater sofa with cushions in good condition,17999,"Description 5 seater sofa with cushions in good condition
no damage at all O3ll-5ll8838",Used,Sofa Set,,https://www.olx.com.pk/item/5-seater-sofa-with-cushions-in-good-condition-iid-1105431547
used 5 month only,60000,Description good condition used only 5 month almost new 1 bed 2. side table 1 almary urgent sale,Used,King Bed,Wooden,https://www.olx.com.pk/item/used-5-month-only-iid-1105431558
Solid sofa set for sale ( 3+1+1),45000,"Description Solid and in very good condition. Poshish changed recently. Just like new
Slightly negotiable",Used,3 Seater,,https://www.olx.com.pk/item/solid-sofa-set-for-sale-311-iid-1105431560
Dining table set /Dining  \6\chairs set /Dining table,1,"Description Dinning table with 6 chairs used for 3 months only
0\3\2\5\5\8\3\2\5\9\\2\",,,,https://www.olx.com.pk/item/dining-table-set-dining-6chairs-set-dining-table-iid-1105199646
Garden Chairs / outdoor garden chairs / chairs  / Lawn Chairs,85000,"Description Anaya outdoor Garden furniture
 
Welcome to AD Outdoor Garden & Lawn Furniture
We specialize in premium Outdoor & Garden Furniture designed for beauty, comfort, and durability. 

 Our Products Include:
 L-Shaped Sofas
 Single Chairs
 Complete Outdoor Sets
 Custom Styles & Designs (Prices vary by design)

 Why Choose Us?
Top-Quality Materials & Finishing

Comfortable, Elegant & Long-Lasting Furniture

Skilled & Professional Craftsmanship

Custom Colors and Designs Available

Home Delivery Across Pakistan 

Reasonable & Affordable Prices

 Order Now:
  (View phone number)   
  (View phone number) 
 Call / SMS / WhatsApp / Inbox for details
 Click on our profile to see more!",New,,,https://www.olx.com.pk/item/garden-chairs-outdoor-chairs-chairs-furniture-lawn-chairs-iid-1104717950
sofa set with new condition,60000,Description used with in 4 to 5 mnths,Used,3 Seater,,https://www.olx.com.pk/item/sofa-set-with-new-condition-iid-1105431200
computer table,5000,"Description old computer table,  Rs. 5,000/-",Used,Others,,https://www.olx.com.pk/item/computer-table-iid-1105431210
7seater lshaped sofa with puffy and table is up for sale,65000,Description 7seater Lshaped sofa with puffy and table is up for sale only 2 months used almost new condition used with care only serious buyers chat on olx price is bit negotiable,Used,L Shaped,,https://www.olx.com.pk/item/7seater-lshaped-sofa-with-puffy-and-table-is-up-for-sale-iid-1105431219
6 Seater Sofa Set with Side table Set for Living Room,159,"Description 6 Seater Sofa Set with Side tables and One center table for living Room. 
No damage, No scratches or stains
High quality material, designed to last. Urgent Sale 
condition 10/10",Used,Sofa Set,,https://www.olx.com.pk/item/6-seater-sofa-set-with-side-table-set-for-living-room-iid-1105431228
Bed set / Double Bed set / King size Bed set / Bedroom Furniture,55000,"Description * Woods Used: Sheesham, Kail, Partal, Akhrot & Lasani – solid and durable options. 
 • Finishing: High gloss, matte, deco paint & PU polish – custom colors available. 
 • Designs: King size, luxury wooden & poshish beds with side tables, dressers. 
 • Quality & Warranty: Top-grade material with 10-year frame guarantee – no compromise. 
Different coulrs are available as per your choice
For more details contact on whatsapp  (View phone number)",New,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-double-bed-set-king-size-bed-set-bedroom-furniture-iid-1105431245
Office Tables/Work Station/Computer Tables/Study Tables/Student Table,7499,"Description Description:
Ergonomic Design
Adjustable height 
360° degree swivel 
Mesh back 
Lumber support for comfort
 Padded seat
High density foam
PP-Nylon base
Imported base with one year warranty

Significance 
Sleek and professional design to complement any office decor
""Elevate your workspace with our ergonomic revolving chair! 
 Experience ultimate comfort and mobility with 360-degree swivel. 
 Adjustable height and lumbar support ensure personalized comfort. 
 Perfect for any office settings.",New,Workstations,,https://www.olx.com.pk/item/office-tableswork-stationcomputer-tablesstudy-tablesstudent-table-iid-1105431293
Chairs / Sofa Chairs / Wooden Chairs,50000,"Description badt wooden chairs one tebal and bast hand carvings and handemade piece discount cost
Everything has different cost
information For  contact me 
Whatsapp Number  (View phone number)   (View phone number)",New,Swing Chairs,,https://www.olx.com.pk/item/chairs-sofa-chairs-wooden-chairs-iid-1072959254
EXECUTIVE OFFICE TABLE,90000,"Description Excellent Executive Office table 
3 parts with Draws
Laminated surfaces 
6 months used 
Excellent condition and material 
price is little bit negotiable 
Only serious buyers",New,Executive Tables,,https://www.olx.com.pk/item/executive-office-table-iid-1101954428
King Chairs,35000,"Description Almost New … 
King Chairs for sale",Used,Others,,https://www.olx.com.pk/item/king-chairs-iid-1105431318
Set of three tables,25000,Description Three tables with wooden frame and glass top. Need to sell because getting some new furniture in place. Condition 8/10,,,,https://www.olx.com.pk/item/set-of-three-tables-iid-1105431375
Bed set,80000,Description bed two side tables dressing and mirror,New,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-iid-1105431380
Counter for Shop,16999,"Description Counter for Shop. 
Condition 9/10. 
Same as in picture. 
Price could be negotiable.",Used,,,https://www.olx.com.pk/item/counter-for-shop-iid-1105431402
